,Accx,Accy,Accz,Gyrx,Gyry,Gyrz,Entr
145,-6.058426796,0.110604653,5.461714725,-0.0384,-0.08843,0.05701,3
146,-6.1339914,0.151484608,5.404767315,0.07097,-0.00349,-0.01629,3
147,-5.819757571,0.058832144,5.396585803,0.18849,-0.00116,-0.00465,3
148,-5.741928423,-0.110580646,5.39519593,0.13148,0.11053,0.01862,3
149,-5.347844325,-0.122609002,5.837655378,0.02327,0.01862,-0.00349,3
150,-5.130487344,-0.039068154,6.020041066,-0.1338,-0.11286,-0.03142,3
151,-4.998317586,-0.067100681,6.175233082,-0.11402,0.03956,-0.0384,3
152,-4.896854607,0.010262474,6.259874025,0.1245,-0.00698,-0.00116,3
153,-4.57669716,-0.107362978,6.339222495,0.18267,0.14311,0.0256,3
154,-4.387427766,-0.206421578,6.219171837,0.25946,0.16871,0.02676,3
155,-4.219493165,0.095272182,5.843470285,-0.01396,-0.00116,-0.07097,3
156,-4.330330179,0.207051996,6.082562756,-0.01164,-0.0128,-0.01047,3
157,-4.328408296,0.375546456,6.018860522,-0.10937,-0.09192,-0.0256,3
158,-4.013015961,0.156570619,5.93189268,-0.22572,-0.18965,-0.05236,3
159,-4.001190409,0.094846694,5.49660729,0.06865,-0.01047,-0.00582,3
160,-3.988313605,0.109733681,5.561663039,0.06632,0.05352,0.00349,3
161,-3.94133198,0.399412865,5.422587335,-0.1466,-0.12915,-0.0384,3
162,-3.887232037,0.665398039,5.379447823,-0.1594,-0.10472,0.05236,3
163,-3.697618404,0.935216106,5.577473088,-0.14311,-0.15242,0.11053,3
164,-3.576129966,0.607361216,5.372650109,-0.11752,-0.24085,0.16406,3
165,-3.71222272,0.538084275,5.631392629,-0.08843,-0.09774,0.12915,3
166,-3.639258215,0.599793892,5.366284304,-0.14544,-0.11752,0.02792,3
167,-3.760270364,0.463511867,5.445978374,0.01629,0.00116,-0.00582,3
168,-4.05143042,0.347967438,5.310601052,0.14195,0.10123,-0.02909,3
169,-4.128019928,0.515096025,5.214542197,0.12799,0.11402,-0.02676,3
170,-4.248644604,0.610304231,5.471735356,0.10123,0.08494,0.00465,3
171,-4.182920695,0.621687089,5.740665423,0.09774,0.07679,0.00931,3
172,-4.147580081,0.754278017,5.703200319,0.06167,0.04654,0.00349,3
173,-4.150119574,0.699851612,5.401618775,-0.04538,-0.03374,-0.01513,3
174,-4.225891908,0.740051991,5.513790701,-0.17569,-0.14079,-0.04421,3
175,-4.204315744,0.641056987,5.44844795,-0.35138,-0.27575,-0.08377,3
