,Accx,Accy,Accz,Gyrx,Gyry,Gyrz,Entr
389,-0.909573903,0.102894117,11.48905894,0.01396,0.00931,-0.01513,3
390,-0.818766831,0.414515397,11.16175426,-0.01396,-0.00814,-0.00814,3
391,-1.03724373,0.460687523,11.2283703,-0.02909,-0.02327,-0.0128,3
392,-1.080257442,0.593768537,11.19928719,-0.02211,-0.0128,-0.0128,3
393,-0.898119622,0.904576676,10.99748126,-0.02792,-0.02327,-0.00931,3
394,-0.623905227,0.971332959,10.76414801,0.02211,0.02094,-0.01629,3
395,-0.640938988,0.919954309,10.55984129,0.03723,0.02792,-0.01745,3
396,-0.832369956,0.787081038,10.61691661,-0.02443,-0.01513,-0.01164,3
397,-0.827087804,0.65423603,10.66803409,-0.02909,-0.02094,-0.00814,3
398,-0.796712523,0.543137522,10.6321559,-0.01862,-0.0128,-0.01047,3
399,-0.774683603,0.498204548,10.75249857,0.02909,0.0256,-0.01513,3
400,-1.176808765,0.489303934,10.68061267,0.02443,0.01745,-0.01745,3
401,-1.162757038,0.197040786,10.79776538,-0.01862,-0.01745,-0.01047,3
402,-1.262746917,0.047854935,10.89332495,-0.03258,-0.02909,-0.01396,3
403,-1.355334448,0.035903084,10.93187432,0.00116,-0.00349,-0.01164,3
404,-1.369335371,0.096471333,11.10896276,0.01629,0.01396,-0.01862,3
405,-1.408901431,-0.120043981,11.08708584,0.00814,0.00698,-0.01513,3
406,-1.624339725,-0.188393248,11.14714934,-0.04072,-0.03374,-0.01396,3
407,-1.555163854,-0.181191755,11.39113193,-0.10704,-0.08843,-0.00233,3
408,-1.605967518,-0.423980571,11.50160178,-0.11402,-0.10123,0.00349,3
409,-1.440870558,-0.932855907,11.89270404,-0.12799,-0.11053,0.00233,3
410,-1.618271267,-0.980488915,11.80200515,-0.15126,-0.13613,0.00233,3
411,-1.556967888,-1.068283256,11.84976456,-0.18384,-0.1594,0.00698,3
412,-1.447504496,-1.108037322,11.66579394,-0.2106,-0.18965,0.01513,3
413,-1.451620895,-1.175788189,11.5262096,-0.21409,-0.19198,0.01745,3
414,-1.4944873,-1.106515628,11.86068428,-0.22223,-0.20013,0.01629,3
415,-1.432535795,-0.852079521,11.87503045,-0.23736,-0.20827,0.01629,3
416,-1.68158984,-1.301968057,11.74380194,-0.25248,-0.22223,0.01978,3
417,-1.681185671,-1.431368217,11.68927017,-0.2711,-0.23619,0.02327,3
418,-1.871818173,-1.341048086,11.63370779,-0.28855,-0.25481,0.02676,3
419,-1.82066985,-1.471709066,11.47277494,-0.36418,-0.31531,0.03723,3
420,-1.770611208,-1.530321666,11.47661013,-0.41189,-0.36185,0.04654,3
421,-1.675804087,-1.330386492,11.30171237,-0.45145,-0.40025,0.04887,3
422,-1.645926021,-1.26006709,11.17384934,-0.54104,-0.47355,0.06167,3
423,-1.771349791,-1.283028624,10.85453113,-0.5899,-0.51311,0.06632,3
424,-2.022127704,-1.197438138,10.7267929,-0.64343,-0.56198,0.07563,3
425,-2.116318879,-1.187190049,10.67452882,-0.7144,-0.63761,0.08843,3
426,-2.203714686,-1.040380974,10.76550403,-0.89009,-0.79003,0.10239,3
427,-2.464353972,-1.130950463,10.81088488,-1.00644,-0.88893,0.11286,3
428,-2.47612526,-1.17095095,10.79404,-1.19144,-1.04251,0.14311,3
429,-2.623741528,-1.337551317,10.77944322,-1.34735,-1.20773,0.19082,3
430,-2.603714393,-1.674647521,10.61502701,-1.21704,-1.46836,0.36534,3
431,-2.413068187,-2.018652888,10.37846688,-1.52072,-1.58006,0.3095,3
432,-2.433450166,-2.171533097,10.53120888,-1.84185,-1.66849,0.18733,3
433,-2.453993354,-2.579455826,10.52889684,-2.32238,-1.9233,0.18849,3
434,-2.529538775,-2.715078878,9.978707434,-2.57603,-2.45502,0.09774,3
435,-2.536312913,-2.657964315,9.551932858,-3.0554,-2.81106,0.0605,3
436,-2.637315295,-3.083532335,8.669993752,-3.55339,-3.34512,0.16522,3
437,-2.340065316,-2.778426771,7.80646216,-4.07581,-3.73839,0.41887,3
438,-2.248520552,-2.635357815,6.806050385,-4.01763,-3.75933,1.23798,3
439,-2.184325918,-2.884144595,5.91559636,-5.24049,-4.15609,1.13443,3
440,-2.236464693,-2.916319585,5.089549551,-5.19976,-4.24219,-0.21176,3
441,-2.284612063,-2.905297791,4.082787731,-5.68262,-4.48536,-0.45494,3
442,-2.393905875,-2.698647538,2.505348029,-6.13058,-4.70178,-0.60852,3
443,-2.737274345,-2.64840777,1.671333675,-6.53665,-4.86816,-1.16119,3
444,-3.011050552,-2.591560867,0.605128163,-6.52385,-4.86467,-1.13327,3
445,-3.210061591,-2.506156806,-0.515896517,-6.75074,-3.26949,-1.7511,3
